Ticker,Alert_Type,Severity,Title,Message,Triggered_At,Is_Read
BMW.DE,new_opportunity,media,Nueva oportunidad detectada en BMW.DE,BMW.DE aparece por primera vez con score 67.0 y clasificación seguimiento.,2026-05-16T09:56:11.606643+02:00,False
DTE.DE,new_opportunity,media,Nueva oportunidad detectada en DTE.DE,DTE.DE aparece por primera vez con score 63.6 y clasificación seguimiento.,2026-05-16T09:56:14.701102+02:00,False
FRE.DE,new_opportunity,media,Nueva oportunidad detectada en FRE.DE,FRE.DE aparece por primera vez con score 77.9 y clasificación entrada_directa.,2026-05-16T09:56:15.521990+02:00,False
HEN3.DE,new_opportunity,media,Nueva oportunidad detectada en HEN3.DE,HEN3.DE aparece por primera vez con score 78.8 y clasificación seguimiento.,2026-05-16T09:56:18.148199+02:00,False
VOW3.DE,new_opportunity,media,Nueva oportunidad detectada en VOW3.DE,VOW3.DE aparece por primera vez con score 60.4 y clasificación descarte.,2026-05-16T09:56:19.253387+02:00,False
MUV2.DE,new_opportunity,media,Nueva oportunidad detectada en MUV2.DE,MUV2.DE aparece por primera vez con score 79.1 y clasificación seguimiento.,2026-05-16T09:56:19.488724+02:00,False
SAP.DE,new_opportunity,media,Nueva oportunidad detectada en SAP.DE,SAP.DE aparece por primera vez con score 77.5 y clasificación seguimiento.,2026-05-16T09:56:21.705281+02:00,False
ADS.DE,new_opportunity,media,Nueva oportunidad detectada en ADS.DE,ADS.DE aparece por primera vez con score 68.8 y clasificación seguimiento.,2026-05-16T09:56:22.335903+02:00,False
DBK.DE,new_opportunity,media,Nueva oportunidad detectada en DBK.DE,DBK.DE aparece por primera vez con score 76.7 y clasificación seguimiento.,2026-05-16T09:56:23.057912+02:00,False
BEI.DE,new_opportunity,media,Nueva oportunidad detectada en BEI.DE,BEI.DE aparece por primera vez con score 79.5 y clasificación seguimiento.,2026-05-16T09:56:25.507932+02:00,False
HEI.DE,new_opportunity,media,Nueva oportunidad detectada en HEI.DE,HEI.DE aparece por primera vez con score 73.1 y clasificación seguimiento.,2026-05-16T09:56:26.060657+02:00,False
AIR.PA,new_opportunity,media,Nueva oportunidad detectada en AIR.PA,AIR.PA aparece por primera vez con score 64.2 y clasificación seguimiento.,2026-05-16T09:56:28.680548+02:00,False
BN.PA,new_opportunity,media,Nueva oportunidad detectada en BN.PA,BN.PA aparece por primera vez con score 70.8 y clasificación seguimiento.,2026-05-16T09:56:29.652951+02:00,False
CAP.PA,new_opportunity,media,Nueva oportunidad detectada en CAP.PA,CAP.PA aparece por primera vez con score 87.3 y clasificación seguimiento.,2026-05-16T09:56:31.679805+02:00,False
EL.PA,new_opportunity,media,Nueva oportunidad detectada en EL.PA,EL.PA aparece por primera vez con score 73.2 y clasificación seguimiento.,2026-05-16T09:56:34.882719+02:00,False
MC.PA,new_opportunity,media,Nueva oportunidad detectada en MC.PA,MC.PA aparece por primera vez con score 75.2 y clasificación seguimiento.,2026-05-16T09:56:38.744634+02:00,False
RI.PA,new_opportunity,media,Nueva oportunidad detectada en RI.PA,RI.PA aparece por primera vez con score 81.8 y clasificación seguimiento.,2026-05-16T09:56:42.250011+02:00,False
SGO.PA,new_opportunity,media,Nueva oportunidad detectada en SGO.PA,SGO.PA aparece por primera vez con score 77.3 y clasificación entrada_escalada.,2026-05-16T09:56:44.029971+02:00,False
SAN.PA,new_opportunity,media,Nueva oportunidad detectada en SAN.PA,SAN.PA aparece por primera vez con score 72.7 y clasificación entrada_directa.,2026-05-16T09:56:44.054353+02:00,False
